663.92,137.07,693.79,137.88,691.97,204.99,662.1,204.18
662.63,129.12,690.7,129.77,689.17,195.5,661.09,194.85
662.82,127.85,693.02,129.94,688.69,192.54,658.48,190.45
664.97,132.45,692.68,137.16,682.23,198.62,654.53,193.91
665.19,138.92,691.65,143.34,681.2,205.82,654.74,201.4
665.04,145.22,690.89,150.84,678.28,208.85,652.43,203.23
665.8,140.63,692.21,146.46,679.5,204.03,653.09,198.19
663.26,138.83,689.15,142.44,681.02,200.81,655.13,197.2
658.16,139.87,684.2,141.39,680.81,199.51,654.77,197.99
653.71,144.5,682.47,144.96,681.55,203.49,652.78,203.04
652,150,682,150,682,213,652,213
653.84,147.96,683.14,149.16,680.59,211.43,651.29,210.23
652,147,682,147,682,208,652,208
650,139,681,139,681,200,650,200
648.09,135.45,677.83,136.55,675.61,196.62,645.87,195.51
642.79,134.24,672.41,135.72,669.52,193.63,639.89,192.14
638.97,138.69,670.6,141.85,664.43,203.6,632.8,200.44
631.23,152.26,659.4,152.39,659.16,205.58,630.99,205.45
630.99,155.12,659.88,156.93,656.09,217.51,627.21,215.7
626.16,162.26,657.12,162.32,657.01,219.39,626.05,219.33
628.87,159.77,658.58,161.03,656.15,218.18,626.45,216.92
630.54,156.21,660.11,157.61,657.43,214.11,627.86,212.71
632.73,156.32,662.02,157.19,660.33,213.8,631.05,212.93
638.8,151.2,669.24,154.53,662.66,214.73,632.23,211.41
642.2,153.41,673.09,159.5,662.3,214.23,631.41,208.14
643.29,148.35,671.74,152.51,662.94,212.64,634.49,208.48
639.67,146.26,670.2,147.65,667.38,209.56,636.86,208.18
642.38,138.49,672.63,142.12,665.17,204.22,634.93,200.59
644.06,130.62,673.75,135.45,664.19,194.24,634.5,189.41
640.61,132.16,669.4,133.63,666.36,193.12,637.58,191.65
642.19,137.46,670.99,139.55,666.6,200.14,637.79,198.05
642.02,146.25,670.13,147.4,667.67,207.48,639.56,206.33
643.6,141.06,671.79,142.99,667.64,203.33,639.46,201.4
645.68,145.57,675.97,150.23,666.92,208.99,636.64,204.33
647.26,160.73,675.56,164.25,668.24,223.05,639.94,219.52
647.59,164.82,675.36,167.01,670.7,226.14,642.93,223.95
649.08,153.49,676.78,157.53,668.59,213.67,640.89,209.63
644.15,143.38,672.27,144.55,669.85,202.62,641.73,201.45
644.59,138.33,673.32,139.58,670.89,195.47,642.16,194.22
642.51,133.73,669.74,133.44,670.36,192.03,643.13,192.32
640.16,131.29,670.1,129.12,674.31,187.62,644.37,189.78
643.02,132.66,671.56,134.32,668.36,189.15,639.82,187.48
641.86,126.93,668.57,128.37,665.36,187.52,638.65,186.07
637.34,125.26,663.99,124.03,666.75,183.78,640.1,185.01
641.61,129.24,668.65,130.51,665.96,187.38,638.93,186.1
645.91,130.37,673.84,134.69,664.99,191.96,637.05,187.64
645.78,133.41,673,137.56,664.06,196.16,636.83,192.01
641.68,138.51,668.02,139.4,666.18,194.37,639.84,193.49
642.93,138.26,669.91,139.28,667.94,191.6,640.96,190.58
646.37,132.14,673.07,134.31,668.53,190.02,641.82,187.85
646.47,133.47,672.05,134.82,668.95,193.37,643.37,192.01
648.19,135.93,677.04,138.55,671.63,198.06,642.78,195.43
647.68,140.91,675.57,142.95,671.48,198.78,643.58,196.73
647.51,141.28,675.01,142.07,673.33,200.67,645.83,199.88
644.81,142.63,671.35,141.2,674.49,199.78,647.95,201.21
645.95,138.94,672.36,139.1,672.02,194.07,645.62,193.91
647.17,142.17,675.12,143.81,671.9,198.41,643.96,196.77
644.88,149.29,670.5,148.66,671.95,206.81,646.33,207.45
642.97,152.88,668.95,151.11,672.81,207.58,646.82,209.35
646.31,155.65,675.56,156.06,674.79,211.15,645.54,210.74
648.07,155.49,673.83,154.88,675.18,212.06,649.42,212.67
648.61,155.38,673.74,154.51,675.74,212.25,650.62,213.12
646.09,153.31,674.22,152.02,676.88,210.23,648.75,211.51
645.83,153.78,673.22,152.56,675.67,207.76,648.28,208.97
646.39,154.88,673.51,153.69,676,210.77,648.88,211.95
645.44,154.69,674.16,152.96,677.58,209.72,648.86,211.45
646.95,154.55,676.33,152.39,680.24,205.79,650.86,207.94
652.21,156.54,679.97,154.76,683.53,210.26,655.77,212.04
656.45,158.3,684.7,157.62,686.04,213.25,657.8,213.94
660.28,154.21,688.64,155.36,686.36,211.54,658,210.4
658.98,151.45,686.09,150.44,688.21,207.7,661.1,208.7
659.75,145.85,687.63,144.4,690.51,199.67,662.64,201.13
661.57,142.92,688.32,141.21,691.78,195.4,665.03,197.1
663.5,140.87,692.02,142.6,688.65,198.31,660.13,196.59
663.65,137.38,692.01,139.45,687.89,195.9,659.53,193.83
664.49,127.21,694.1,132.07,684.87,188.29,655.26,183.43
